,shopid,userid
0,10009,1
1,10051,2
2,10061,4
3,10084,55
4,10100,42
5,10107,1
6,10108,2
7,10110,2
8,10132,10
9,10133,12
10,10151,193
11,10153,21
12,10155,1
13,10159,99
14,10166,3
15,10178,2
16,10186,24
17,10195,16
18,10208,182
19,10214,73
20,10217,5
21,10253,1
22,10281,1
23,10282,1
24,10287,211
25,10311,72
26,10324,2
27,10345,9
28,10346,13
29,10352,8
30,10353,35
31,10358,6
32,10359,11
33,10360,10
34,10363,15
35,10375,3
36,10378,2
37,10380,2
38,10388,16
39,10396,1
40,10402,13
41,10407,2
42,10408,3
43,10410,4
44,10418,3
45,10424,1
46,10429,56
47,10432,2
48,10445,1
49,10446,4
50,10452,2
51,10484,79
52,10485,8
53,10498,3
54,10508,3
55,10509,1
56,10517,2
57,10536,13
58,10546,2
59,10555,1
60,10556,2
61,10557,7
62,10563,42
63,11518,4
64,11608,2
65,11613,2
66,11671,8
67,11722,1
68,11752,1
69,11918,4
70,12568,150
71,12581,6
72,12713,1
73,13238,1
74,13405,8
75,13511,46
76,14710,27
77,14962,13
78,15478,4
79,15624,11
80,16034,4
81,16107,110
82,16415,3
83,16666,1
84,17124,2
85,17145,6
86,17147,1
87,17532,3
88,17696,1
89,18204,3
90,18604,19
91,19061,2
92,19190,1
93,19288,5
94,20659,2
95,24526,1
96,24910,1
97,26133,4
98,27649,21
99,29464,2
100,29583,74
101,30826,14
102,30957,17
103,30996,28
104,33480,18
105,33896,1
106,36283,2
107,36536,1
108,38259,2
109,40095,3
110,41764,1
111,42472,16
112,42496,5
113,42578,1
114,42818,52
115,44469,1
116,45096,12
117,46093,2
118,47115,1
119,47176,1
120,47620,15
121,48122,17
122,50932,6
123,54067,1
124,55590,13
125,56418,51
126,59285,1
127,66783,11
128,74526,1
129,76934,10
130,77353,1
131,79567,1
132,80108,21
133,80917,1
134,82911,1
135,84101,5
136,85207,2
137,85818,1
138,85844,11
139,89348,3
140,89408,1
141,89938,9
142,94090,7
143,94636,22
144,94742,1
145,100392,1
146,100530,3
147,108331,1
148,108456,31
149,109715,1
150,123115,6
151,123841,1
152,126755,6
153,131372,1
154,137481,2
155,138218,1
156,140266,79
157,141910,1
158,146154,8
159,147915,3
160,148752,2
161,150722,69
162,152726,8
163,154403,1
164,162037,1
165,163288,1
166,169995,42
167,170555,13
168,175096,1
169,177248,1
170,177485,1
171,178079,2
172,182926,2
173,182937,7
174,183068,161
175,183074,2
176,185505,5
177,188768,8
178,192924,72
179,193202,2
180,195531,32
181,197358,1
182,204106,1
183,207723,1
184,212008,16
185,216823,4
186,218128,4
187,220988,6
188,221181,9
189,223188,1
190,223570,7
191,225246,1
192,225459,1
193,226382,115
194,226837,1
195,227775,5
196,229055,21
197,234234,1
198,236350,1
199,237534,1
200,238149,3
201,238658,3
202,240309,8
203,245986,1
204,246006,4
205,246949,1
206,254421,3
207,257066,2
208,257893,1
209,257944,15
210,257947,2
211,259306,1
212,267584,1
213,269305,2
214,270034,2
215,284152,1
216,286003,5
217,289603,1
218,299337,8
219,299742,142
220,301406,2
221,306551,1
222,316121,23
223,317002,3
224,318061,1
225,321806,1
226,326193,1
227,328380,19
228,331846,1
229,333873,1
230,341998,1
231,345987,3
232,346729,2
233,350672,1
234,359026,1
235,362146,20
236,367947,3
237,376068,2
238,378250,2
239,385094,2
240,385751,3
241,387321,5
242,389558,10
243,394628,3
244,395041,10
245,402318,3
246,406582,132
247,407841,3
248,413627,4
249,414995,2
250,418240,4
251,425364,6
252,439185,19
253,441961,1
254,443232,2
255,452619,1
256,454054,1
257,454559,3
258,473724,2
259,485965,1
260,501932,11
261,504110,1
262,506893,5
263,506938,1
264,508313,1
265,508339,5
266,522684,2
267,533723,1
268,533943,47
269,535209,5
270,538246,1
271,547961,6
272,554485,3
273,567545,8
274,571261,8
275,577768,1
276,592950,1
277,599533,18
278,605561,31
279,612396,3
280,615407,3
281,618063,2
282,620638,1
283,626540,1
284,626847,4
285,631546,11
286,638464,11
287,639650,25
288,640689,1
289,640697,84
290,641249,67
291,641804,37
292,646840,4
293,649202,1
294,652019,6
295,653280,1
296,653621,9
297,655338,1
298,657962,4
299,678608,7
300,680693,2
301,681607,1
302,685263,5
303,696058,2
304,699714,1
305,702892,1
306,713011,1
307,717700,1
308,720651,1
309,720918,12
310,721619,3
311,721647,2
312,722132,50
313,729191,3
314,731606,6
315,736620,40
316,738391,16
317,739014,10
318,742553,1
319,743111,5
320,743313,1
321,744308,3
322,746199,1
323,746561,1
324,746673,1
325,749589,14
326,749882,1
327,759265,1
328,760046,1
329,760726,41
330,762717,2
331,765475,5
332,769445,103
333,771564,2
334,772599,1
335,783093,9
336,793453,1
337,797978,4
338,798888,28
339,801940,114
340,803386,10
341,804140,18
342,811795,2
343,817166,7
344,823357,25
345,827522,8
346,833820,1
347,834490,10
348,834608,1
349,835520,1
350,842957,2
351,849371,1
352,854434,1
353,866481,1
354,868933,1
355,869267,6
356,872932,1
357,874959,2
358,875520,9
359,883177,33
360,888041,1
361,898958,3
362,899636,2
363,902313,1
364,902498,2
365,904272,1
366,908984,1
367,913300,5
368,920716,1
369,934866,3
370,937861,7
371,937944,7
372,938187,1
373,938492,5
374,939904,49
375,947259,37
376,947868,20
377,950097,66
378,951842,29
379,955597,2
380,955920,8
381,963871,3
382,966677,1
383,972252,3
384,984546,8
385,986631,2
386,995539,1
387,998058,12
388,998073,3
389,1005535,25
390,1007013,1
391,1011192,78
392,1012462,33
393,1014668,3
394,1016583,1
395,1017401,29
396,1022508,23
397,1024917,1
398,1025447,1
399,1026511,1
400,1026827,1
401,1026881,4
402,1028620,1
403,1039969,1
404,1041321,41
405,1048115,2
406,1058775,24
407,1072485,11
408,1077284,1
409,1078779,1
410,1078921,4
411,1079456,1
412,1096444,4
413,1102464,4
414,1109238,2
415,1115079,1
416,1122108,18
417,1134916,51
418,1137365,1
419,1141231,1
420,1143708,1
421,1144371,4
422,1166790,1
423,1169758,4
424,1175477,110
425,1180050,1
426,1189349,1
427,1209915,1
428,1216922,12
429,1224830,19
430,1232454,9
431,1257229,2
432,1262816,1
433,1268545,23
434,1273443,28
435,1274125,1
436,1275270,1
437,1277540,1
438,1277997,1
439,1291172,7
440,1302757,2
441,1314258,2
442,1322161,1
443,1326464,1
444,1329746,1
445,1335777,17
446,1335883,2
447,1337416,19
448,1340138,1
449,1346065,6
450,1346718,1
451,1350076,1
452,1352672,3
453,1359118,1
454,1361363,1
455,1368968,4
456,1401267,3
457,1418347,1
458,1484480,2
459,1491393,7
460,1530160,3
461,1531646,1
462,1532569,15
463,1548241,1
464,1588225,1
465,1594704,1
466,1628939,4
467,1645901,2
468,1675201,6
469,1679835,1
470,1702198,1
471,1709492,3
472,1721658,29
473,1731866,6
474,1746211,1
475,1748316,49
476,1751207,1
477,1769010,1
478,1770728,54
479,1791624,13
480,1806841,50
481,1808491,1
482,1808698,9
483,1819043,1
484,1835044,9
485,1869964,1
486,1872127,4
487,1882062,1
488,1889215,1
489,1898080,45
490,1907491,3
491,1953858,1
492,1987325,1
493,2008208,1
494,2012776,11
495,2013687,2
496,2015845,11
497,2025233,4
498,2044873,23
499,2051980,2
500,2069022,2
501,2101885,2
502,2102641,2
503,2135844,8
504,2151644,1
505,2153811,223
506,2178513,5
507,2196388,2
508,2201417,2
509,2228395,1
510,2230180,1
511,2239717,3
512,2251540,1
513,2269893,2
514,2290005,13
515,2300450,2
516,2325957,1
517,2333620,34
518,2358993,1
519,2364906,1
520,2395380,25
521,2424794,1
522,2445250,22
523,2459889,1
524,2472928,10
525,2489934,2
526,2495251,12
527,2497643,12
528,2507411,6
529,2512778,4
530,2529469,20
531,2530899,5
532,2540043,2
533,2561928,13
534,2564252,1
535,2564800,10
536,2581950,65
537,2583380,2
538,2601733,9
539,2618792,6
540,2622447,2
541,2625195,2
542,2626271,4
543,2626302,24
544,2628503,2
545,2630438,2
546,2652706,11
547,2679511,4
548,2702956,1
549,2715741,1
550,2717223,1
551,2721042,1
552,2722850,2
553,2728464,3
554,2730790,65
555,2735969,1
556,2746342,10
557,2766033,4
558,2767461,3
559,2772094,13
560,2776404,2
561,2801370,5
562,2805293,1
563,2810065,1
564,2816592,1
565,2817706,3
566,2831130,54
567,2839504,1
568,2847170,2
569,2855791,2
570,2856708,79
571,2859407,14
572,2875608,11
573,2878244,2
574,2888566,1
575,2889150,16
576,2892341,2
577,2892770,2
578,2897539,2
579,2900254,3
580,2900286,3
581,2901547,4
582,2906688,12
583,2907675,1
584,2951855,64
585,2955728,7
586,2969020,1
587,2987517,15
588,3006288,2
589,3010290,1
590,3020303,5
591,3038185,3
592,3072381,9
593,3089127,1
594,3090157,7
595,3096318,1
596,3110359,2
597,3114397,5
598,3123082,1
599,3124091,3
600,3136023,4
601,3160808,12
602,3215227,29
603,3257601,3
604,3269175,1
605,3272555,3
606,3285661,41
607,3300935,16
608,3315899,1
609,3318265,1
610,3320130,1
611,3341030,1
612,3371187,3
613,3407349,1
614,3417090,1
615,3421740,1
616,3423589,4
617,3437114,2
618,3457937,1
619,3461119,8
620,3464036,26
621,3481414,1
622,3485695,1
623,3494649,1
624,3536814,129
625,3553520,3
626,3558869,2
627,3564031,1
628,3566181,1
629,3570070,1
630,3570656,1
631,3575737,2
632,3589923,1
633,3589981,4
634,3592677,1
635,3599748,1
636,3602410,8
637,3612130,18
638,3616239,1
639,3616492,3
640,3623477,4
641,3664065,1
642,3667582,1
643,3670814,2
644,3678201,17
645,3678731,3
646,3682508,6
647,3687627,1
648,3698332,7
649,3701311,16
650,3711886,29
651,3736328,16
652,3740215,104
653,3766455,12
654,3861712,10
655,3890606,2
656,3894972,1
657,3902055,59
658,3904961,3
659,3923092,4
660,3925613,4
661,3937614,22
662,3959595,6
663,3966161,2
664,3983267,86
665,4042890,2
666,4043412,6
667,4115305,6
668,4147463,1
669,4148913,52
670,4149345,124
671,4150174,8
672,4150275,6
673,4156256,14
674,4185198,10
675,4196554,7
676,4196887,1
677,4198341,9
678,4206162,3
679,4207629,3
680,4265514,2
681,4280304,2
682,4293915,1
683,4298920,7
684,4300050,7
685,4302221,1
686,4303896,1
687,4303950,51
688,4315378,4
689,4316083,1
690,4323502,24
691,4355915,1
692,4365121,1
693,4366353,1
694,4367107,1
695,4367211,17
696,4377585,2
697,4381617,28
698,4387874,3
699,4393810,1
700,4396874,18
701,4411703,2
702,4429941,1
703,4456733,1
704,4477130,2
705,4478926,2
706,4498082,12
707,4498522,84
708,4520916,2
709,4523728,6
710,4563580,5
711,4570022,4
712,4570538,50
713,4575356,2
714,4597748,2
715,4632632,1
716,4658480,1
717,4669871,21
718,4677604,1
719,4685102,1
720,4686066,1
721,4706969,9
722,4713802,4
723,4732331,1
724,4785751,1
725,4795038,1
726,4798788,1
727,4854168,5
728,4856194,1
729,4857576,1
730,4862751,1
731,4867543,5
732,4878652,1
733,4886234,2
734,4888564,13
735,4918745,1
736,4923879,5
737,4937640,125
738,4946603,2
739,4946827,60
740,4967809,4
741,4968899,1
742,4970716,1
743,4975347,3
744,4986423,16
745,5007785,1
746,5013172,1
747,5030008,58
748,5033989,34
749,5084475,3
750,5117820,12
751,5123728,1
752,5135753,2
753,5161037,1
754,5179395,2
755,5185128,1
756,5255815,45
757,5263836,5
758,5283695,2
759,5288145,3
760,5295192,2
761,5329909,13
762,5354812,156
763,5358347,1
764,5359628,2
765,5427594,8
766,5506854,4
767,5514171,1
768,5525470,2
769,5526137,39
770,5564068,8
771,5576311,2
772,5585733,6
773,5595928,2
774,5609059,1
775,5649019,1
776,5651988,40
777,5652214,21
778,5654922,2
779,5696946,24
780,5739726,1
781,5765599,1
782,5806212,4
783,5807178,4
784,5808593,1
785,5857452,9
786,5859677,41
787,5859784,162
788,5873204,3
789,5892167,13
790,5914175,4
791,5920125,1
792,5923104,1
793,5955580,1
794,6018503,5
795,6036048,1
796,6042309,26
797,6043702,106
798,6045602,24
799,6072241,64
800,6075856,1
801,6078026,35
802,6094984,2
803,6116640,11
804,6119894,6
805,6123613,53
806,6152198,21
807,6219017,1
808,6246308,13
809,6259078,9
810,6275128,10
811,6285560,46
812,6307268,1
813,6314299,1
814,6360366,10
815,6372119,2
816,6378187,3
817,6379564,4
818,6396861,2
819,6404827,2
820,6406511,1
821,6439447,2
822,6460720,1
823,6492885,17
824,6523899,1
825,6533052,1
826,6544825,3
827,6549582,1
828,6601282,1
829,6653515,1
830,6655048,1
831,6707806,1
832,6738897,1
833,6750463,1
834,6757784,6
835,6764832,1
836,6765647,56
837,6778676,41
838,6831578,64
839,6849297,10
840,6849924,6
841,6853576,5
842,6859066,7
843,6865686,1
844,6878340,5
845,6890811,46
846,6904196,22
847,6930713,3
848,6932660,11
849,6938432,1
850,6940844,22
851,7037926,1
852,7086363,1
853,7166715,26
854,7190564,54
855,7197375,1
856,7197700,1
857,7210890,1
858,7245380,10
859,7245523,3
860,7250357,1
861,7272171,1
862,7303211,22
863,7303570,21
864,7333722,104
865,7341551,11
866,7343338,2
867,7365459,10
868,7368228,23
869,7388858,42
870,7396195,4
871,7404037,2
872,7409977,1
873,7424189,5
874,7450683,5
875,7495069,1
876,7507082,1
877,7524004,5
878,7529642,6
879,7536131,2
880,7536903,7
881,7548342,12
882,7549378,25
883,7555185,2
884,7555587,4
885,7568892,2
886,7595687,239
887,7599518,29
888,7600283,8
889,7603815,1
890,7610832,23
891,7617096,66
892,7644857,10
893,7649086,1
894,7733457,12
895,7764909,3
896,7767401,17
897,7767831,2
898,7770291,17
899,7792923,3
900,7820973,1
901,7823037,1
902,7830114,2
903,7831312,1
904,7831416,6
905,7835467,6
906,7837026,13
907,7837555,2
908,7848700,3
909,7870870,10
910,7873834,3
911,7876349,6
912,7892231,1
913,7924399,12
914,7924947,42
915,7950607,1
916,7966542,2
917,7975018,10
918,7985925,18
919,8015682,3
920,8019790,2
921,8043008,2
922,8051258,104
923,8076673,21
924,8078078,4
925,8078473,3
926,8090602,12
927,8092866,33
928,8121841,53
929,8145849,1
930,8152883,1
931,8167351,7
932,8221441,2
933,8223757,13
934,8255220,3
935,8263559,3
936,8275177,16
937,8289407,1
938,8296791,1
939,8296887,1
940,8321957,1
941,8328807,2
942,8337481,1
943,8360517,70
944,8362239,47
945,8366918,1
946,8368571,30
947,8388978,2
948,8422673,1
949,8442540,15
950,8453612,1
951,8463086,12
952,8463087,7
953,8510293,1
954,8527682,32
955,8528033,55
956,8528955,16
957,8535926,5
958,8562362,10
959,8566282,42
960,8570024,17
961,8573568,15
962,8594509,6
963,8605274,24
964,8648178,7
965,8697783,2
966,8715449,171
967,8719863,4
968,8722247,5
969,8745774,3
970,8758683,3
971,8763452,1
972,8777361,3
973,8781351,1
974,8801197,16
975,8808060,25
976,8809291,24
977,8834373,5
978,8834405,51
979,8835473,7
980,8840787,1
981,8858742,3
982,8926646,42
983,8926805,13
984,8930674,50
985,8938372,1
986,8938654,4
987,8966656,26
988,8971552,1
989,8987560,10
990,8996761,32
991,8997794,3
992,9004534,26
993,9017164,4
994,9017285,3
995,9020733,3
996,9026758,1
997,9027162,1
998,9029100,71
999,9038843,12
1000,9048950,3
1001,9109593,23
1002,9143532,1
1003,9153340,105
1004,9159233,1
1005,9175583,48
1006,9175716,8
1007,9176579,59
1008,9208160,45
1009,9211634,12
1010,9217865,1
1011,9245782,4
1012,9246882,2
1013,9274692,3
1014,9284482,5
1015,9287546,2
1016,9295996,2
1017,9364782,5
1018,9372692,47
1019,9374147,385
1020,9382509,7
1021,9420081,88
1022,9424512,3
1023,9445262,1
1024,9452640,1
1025,9463080,8
1026,9464184,1
1027,9465894,24
1028,9466594,52
1029,9481094,7
