shopid,userid
147941492,11703
61556313,6691
54615708,2640
91799978,707
57189823,687
107921853,684
25924280,655
89768730,607
43412276,529
32504026,516
34910509,515
156498720,511
84301799,501
64909117,481
21672386,446
24013303,437
26974701,430
47415942,391
9374147,385
161269907,384
135026031,375
158448460,372
15961547,359
154074176,358
171496968,358
92566917,330
16174997,321
172185419,321
50658851,313
78509316,312
36453588,310
84713261,304
83213597,289
114932479,279
126639670,279
137739819,278
156883302,277
21534934,277
15618985,274
148045360,271
10915894,269
13842071,268
91487219,267
175697852,267
131198971,265
75218433,264
51831798,264
64922680,260
54621801,260
192785588,260
84723682,255
67729795,251
114919380,248
27998060,246
48834674,246
147398485,245
39938958,244
87037251,244
112426924,243
45828982,241
9641401,241
40959403,239
19216692,239
7595687,239
39554718,233
182347785,233
65883234,231
84711731,230
49674942,224
65885656,224
2153811,223
64492135,222
145254211,215
28055313,214
101667372,214
11425471,213
10287,211
118975891,208
149828485,207
144969458,205
16613121,204
117069243,203
60325104,201
111164466,200
74652209,199
75632239,197
112904482,197
76372898,196
10151,193
84204959,192
30988921,192
51960315,190
96757689,189
60785640,184
45836171,184
97084589,182
10208,182
99510463,182
111011066,179
36597337,179
50970067,177
76210086,175
45647685,175
53427888,173
115179739,172
8715449,171
9717435,169
33380999,169
58853230,167
169215847,167
15049185,166
83102588,166
129736159,166
61359433,166
81087530,166
10384253,165
135028831,164
5859784,162
183068,161
13436301,161
11896733,159
10891360,159
64625969,158
91242967,156
5354812,156
84547411,156
64375476,156
64376286,154
62353606,154
28164228,153
72569544,152
99833363,152
54054704,152
88202387,150
12568,150
151865497,149
76668593,149
133252710,148
122218940,147
58530722,147
129916416,147
49084092,147
131857813,146
131156634,146
119046960,146
13026492,146
49674796,144
147906917,144
66337054,142
299742,142
128299162,142
145000395,141
96953349,141
127246126,140
129017579,139
89911006,138
116498416,138
19058795,138
64112798,138
86285837,137
66861410,136
153849290,136
104590058,136
87219179,135
48685076,135
67975263,134
12662873,133
35582959,133
129257169,133
96757706,132
406582,132
40263988,132
75622223,132
93295101,132
42588802,131
71787672,131
153294173,131
74294441,129
143246658,129
3536814,129
45348627,128
16175315,128
108071059,128
73302121,126
49174497,126
30876744,126
153966647,125
96757713,125
24013881,125
17824459,125
41970151,125
4937640,125
93950878,124
153746042,124
64909692,124
61811194,124
4149345,124
90172857,123
59888259,123
69032260,123
51134277,123
133312433,123
156248768,122
59322527,122
127249066,122
35583114,122
145694343,121
12078788,120
110871170,120
102111330,120
66796064,120
154408501,120
70048558,120
40429317,120
41293031,119
104589926,119
144294380,119
129916422,118
17678304,117
140201236,117
84559659,117
110602616,116
18190345,116
64909454,116
167354126,116
68604877,115
162551899,115
58541919,115
87514129,115
226382,115
105378074,115
153410043,115
79070417,114
9689507,114
31510663,114
801940,114
30349256,114
30870545,114
182846820,114
101590068,113
26218382,112
95138046,111
27476241,111
75777351,111
64112888,111
129017444,110
1175477,110
16107,110
50970275,109
170324130,109
19123899,109
9690513,109
161929554,109
70506294,109
95236751,109
51487475,109
76473021,108
59599139,107
137774448,107
70524908,106
6043702,106
131156579,106
92775746,106
98758834,106
62713846,106
154885383,105
153514330,105
48685683,105
105096361,105
156045699,105
18173522,105
128270157,105
20025878,105
9153340,105
3740215,104
101832043,104
8051258,104
16194072,104
27015534,104
7333722,104
769445,103
166672032,103
51487211,103
9782095,102
68862371,102
134972843,102
163014475,101
104804503,101
9676950,101
143281052,100
10159,99
28091290,99
22800308,99
96982835,98
85568862,98
111405300,98
74542442,98
162967591,98
87621695,98
58241242,97
200773571,97
99787848,97
149457939,97
62398447,97
132834615,97
45870095,97
189308408,96
105084800,96
89889524,96
77581273,96
51686788,96
120358496,96
86572154,95
29973792,95
159794198,95
57327530,95
171956372,94
97167909,94
41816358,94
182630780,93
169201637,93
143585502,93
30101879,93
159830232,92
22502375,92
67846887,92
43719124,91
96757644,91
150634541,91
192666230,91
27121667,90
81087553,90
11660410,90
160419520,90
102486966,90
68716077,89
49800598,89
23255399,89
180350666,89
116525677,89
64237119,88
140249921,88
101573592,88
148917764,88
140937896,88
9420081,88
121003313,88
63369471,88
111640885,88
104457794,88
73662716,88
27987240,88
119362482,88
121727827,87
165307278,87
26525054,87
62712397,87
17749654,87
30870624,87
24759976,87
104245690,86
17690724,86
116456930,86
10678993,86
3983267,86
135634538,86
71018711,86
35583328,85
98768262,85
50968453,85
56664886,85
61475131,85
120981896,85
73520061,85
50969592,85
79069823,85
132716330,85
76314118,84
4498522,84
640697,84
109581233,84
96869191,83
59460083,83
82601489,83
104291811,83
160326241,83
79694639,83
43726621,83
141603929,83
173728060,82
112442101,82
64375750,82
139614313,82
72368583,82
151864469,82
91716487,82
28812820,82
17842027,82
147627088,82
43704589,82
158094560,82
57885771,82
29975426,81
40263956,81
113952977,81
107148254,81
84866704,81
90555315,81
96558159,81
164062377,81
89948967,80
44824129,80
160305762,80
88057427,79
140266,79
2856708,79
73120749,79
41282916,79
97084677,79
10484,79
50968872,79
64376561,79
76221922,79
31976883,78
149465143,78
45244639,78
23750501,78
66862214,78
122625412,78
178400128,78
1011192,78
54593721,78
136135817,78
9684704,78
60864760,78
98551848,78
145146309,77
66397495,77
128441278,77
60863287,77
161430747,77
106390524,77
108157503,77
13844511,76
17025264,76
167134527,76
78375612,76
31733346,76
161772670,76
158156700,76
151371857,76
162014252,75
112547365,75
171554188,75
115506347,75
115150728,75
171994102,75
65649018,74
29979455,74
11284464,74
29583,74
50713918,74
86822226,74
66715582,74
64113118,74
145818032,74
75324040,74
27971736,73
157607264,73
145777302,73
10075073,73
134946458,73
10214,73
24029939,73
25614013,72
111184668,72
86634598,72
26519437,72
10311,72
192924,72
59255767,72
64394406,72
136564914,72
93358941,71
68478964,71
60586272,71
59416510,71
17628187,71
120337397,71
9029100,71
16174733,71
50969117,71
12998987,71
16864285,71
97372033,70
34682272,70
67960532,70
79735070,70
33515430,70
15236712,70
17030485,70
37983742,70
111572991,70
62713492,70
92727505,70
63636957,70
68457554,70
150133749,70
86799255,70
8360517,70
29961689,70
71350056,70
79835199,69
70532732,69
20041367,69
83318079,69
43416591,69
183691976,69
150722,69
78508758,69
145236330,69
64375101,69
141920074,69
50968827,69
52934282,69
122625627,69
60317321,69
28225599,68
64394533,68
145824102,68
31844790,68
149773657,68
158634002,68
143596810,68
60864487,68
27430506,68
641249,67
115294353,67
26681577,67
12067888,67
130168935,67
116343391,67
129926373,67
164141269,67
151146251,67
9885796,67
131393410,66
12480907,66
69575583,66
166676440,66
950097,66
35589275,66
66407888,66
7617096,66
160141723,66
81190226,66
59765227,66
39401693,66
80776569,66
115711567,66
91087572,66
170937041,66
11271939,66
91639906,66
126422333,65
129017718,65
16001939,65
111231655,65
147906073,65
2581950,65
54593828,65
2730790,65
169916944,65
145806234,65
107154682,65
195406956,65
97993018,65
102126586,64
45349944,64
122144507,64
23077028,64
167068287,64
6831578,64
142201790,64
130920107,64
100029879,64
126605686,64
10202952,64
2951855,64
85965780,64
80201181,64
70684265,64
80186194,64
6072241,64
140962220,63
129926595,63
50205520,63
109823168,63
131856524,63
153311525,63
10885840,63
17911218,62
112462685,62
49071150,62
95138572,62
14747632,62
119029672,62
137490922,62
50057651,62
95230207,62
63381431,62
15290046,62
132655953,62
58390723,62
142718055,62
139094437,62
20545947,62
131711368,62
54593630,62
173422112,61
38670688,61
138862105,61
40415288,61
93949994,61
64394353,60
79545872,60
25599171,60
83699001,60
45331410,60
44606956,60
116629192,60
132102434,60
31989591,60
137754804,60
4946827,60
106407924,60
40528055,60
95446709,60
90385730,60
135054910,60
9176579,59
130099246,59
92567513,59
70518770,59
96573864,59
3902055,59
35925244,59
132656226,59
63001696,59
104747025,59
75603759,59
91637172,59
105084496,59
70524978,59
